SampleID	Speaker
sample198	spkr20
sample199	spkr20
sample200	spkr20
sample201	spkr21
sample202	spkr21
sample203	spkr21
sample204	spkr21
sample205	spkr21
sample206	spkr21
sample207	spkr21
sample208	spkr21
sample209	spkr21
sample210	spkr21
sample211	spkr22
sample212	spkr22
sample213	spkr22
sample214	spkr22
sample215	spkr22
sample216	spkr22
sample217	spkr22
sample218	spkr22
sample219	spkr22
sample220	spkr22
sample221	spkr23
sample222	spkr23
sample223	spkr23
sample224	spkr23
sample225	spkr23
sample226	spkr23
sample227	spkr23
sample228	spkr23
sample229	spkr23
sample230	spkr23
sample231	spkr24
sample232	spkr24
sample233	spkr24
sample234	spkr24
sample235	spkr24
sample236	spkr24
sample237	spkr24
sample238	spkr24
sample239	spkr24
sample240	spkr24
sample241	spkr25
sample242	spkr25
sample243	spkr25
sample244	spkr25
sample245	spkr25
sample246	spkr25
sample247	spkr25
sample248	spkr25
sample249	spkr25
sample250	spkr25
sample251	spkr26
sample252	spkr26
sample253	spkr26
sample254	spkr26
sample255	spkr26
sample256	spkr26
sample257	spkr26
sample258	spkr26
sample259	spkr26
sample260	spkr26
sample261	spkr27
sample262	spkr27
sample263	spkr27
sample264	spkr27
sample265	spkr27
sample266	spkr27
sample267	spkr27
sample268	spkr27
sample269	spkr27
sample270	spkr27
sample271	spkr28
sample272	spkr28
sample273	spkr28
sample274	spkr28
sample275	spkr28
sample276	spkr28
sample277	spkr28
sample278	spkr28
sample279	spkr28
sample280	spkr28
sample281	spkr29
sample282	spkr29
sample283	spkr29
sample284	spkr29
sample285	spkr29
sample286	spkr29
sample287	spkr29
sample288	spkr29
sample289	spkr29
sample290	spkr29
sample291	spkr30
sample292	spkr30
sample293	spkr30
sample294	spkr30
sample295	spkr30
sample296	spkr30
sample297	spkr30
sample298	spkr30
sample299	spkr30
sample300	spkr30
sample301	spkr31
sample302	spkr31
sample303	spkr31
sample304	spkr31
sample305	spkr31
sample306	spkr31
sample307	spkr31
sample308	spkr31
sample309	spkr31
sample310	spkr31
sample311	spkr32
sample312	spkr32
sample313	spkr32
sample314	spkr32
sample315	spkr32
sample316	spkr32
sample317	spkr32
sample318	spkr32
sample319	spkr32
sample320	spkr32
sample321	spkr33
sample322	spkr33
sample323	spkr33
sample324	spkr33
sample325	spkr33
sample326	spkr33
sample327	spkr33
sample328	spkr33
sample329	spkr33
sample330	spkr33
sample331	spkr34
sample332	spkr34
sample333	spkr34
sample334	spkr34
sample335	spkr34
sample336	spkr34
sample337	spkr34
sample338	spkr34
sample339	spkr34
sample340	spkr34
sample341	spkr35
sample342	spkr35
sample343	spkr35
sample344	spkr35
sample345	spkr35
sample346	spkr35
sample347	spkr35
sample348	spkr35
sample349	spkr35
sample350	spkr35
sample351	spkr36
sample352	spkr36
sample353	spkr36
sample354	spkr36
sample355	spkr36
sample356	spkr36
sample357	spkr36
sample358	spkr36
sample359	spkr36
sample360	spkr36
sample361	spkr37
sample362	spkr37
sample363	spkr37
sample364	spkr37
sample365	spkr37
sample366	spkr37
sample367	spkr37
sample368	spkr37
sample369	spkr37
sample370	spkr37
sample371	spkr38
sample372	spkr38
sample373	spkr38
sample374	spkr38
sample375	spkr38
sample376	spkr38
sample377	spkr38
sample378	spkr38
sample379	spkr38
sample380	spkr38
sample381	spkr39
sample382	spkr39
sample383	spkr39
sample384	spkr39
sample385	spkr39
sample386	spkr39
sample387	spkr39
sample388	spkr39
sample389	spkr39
sample390	spkr39
sample391	spkr40
sample392	spkr40
sample393	spkr40
sample394	spkr40
sample395	spkr40
sample396	spkr40
sample397	spkr40
sample398	spkr40
sample399	spkr40
sample400	spkr40
sample401	spkr41
sample402	spkr41
sample403	spkr41
sample404	spkr41
sample405	spkr41
sample406	spkr41
sample407	spkr41
sample408	spkr41
sample409	spkr41
sample410	spkr41
sample411	spkr42
sample412	spkr42
sample413	spkr42
sample414	spkr42
sample415	spkr42
sample416	spkr42
sample417	spkr42
sample418	spkr42
sample419	spkr42
sample420	spkr42
sample421	spkr43
sample422	spkr43
sample423	spkr43
sample424	spkr43
sample425	spkr43
sample426	spkr43
sample427	spkr43
sample428	spkr43
sample429	spkr43
sample430	spkr43
sample431	spkr44
sample432	spkr44
sample433	spkr44
sample434	spkr44
sample435	spkr44
sample436	spkr44
sample437	spkr44
sample438	spkr44
sample439	spkr44
sample440	spkr44
sample441	spkr45
sample442	spkr45
sample443	spkr45
sample444	spkr45
sample445	spkr45
sample446	spkr45
sample447	spkr45
sample448	spkr45
sample449	spkr45
sample450	spkr45
sample451	spkr46
sample452	spkr46
sample453	spkr46
sample454	spkr46
sample455	spkr46
sample456	spkr46
sample457	spkr46
sample458	spkr46
sample459	spkr46
sample460	spkr46
sample461	spkr47
sample462	spkr47
sample463	spkr47
sample464	spkr47
sample465	spkr47
sample466	spkr47
sample467	spkr47
sample468	spkr47
sample469	spkr47
sample470	spkr47
sample471	spkr48
sample472	spkr48
sample473	spkr48
sample474	spkr48
sample475	spkr48
sample476	spkr48
sample477	spkr48
sample478	spkr48
sample479	spkr48
sample480	spkr48
sample481	spkr49
sample482	spkr49
sample483	spkr49
sample484	spkr49
sample485	spkr49
sample486	spkr49
sample487	spkr49
sample488	spkr49
sample489	spkr49
sample490	spkr49
sample491	spkr50
sample492	spkr50
sample493	spkr50
sample494	spkr50
sample495	spkr50
sample496	spkr50
sample497	spkr50
sample498	spkr50
sample499	spkr50
sample500	spkr50
sample501	spkr51
sample502	spkr51
sample503	spkr51
sample504	spkr51
sample505	spkr51
sample506	spkr51
sample507	spkr51
sample508	spkr51
sample509	spkr51
sample510	spkr51
sample511	spkr52
sample512	spkr52
sample513	spkr52
sample514	spkr52
sample515	spkr52
sample516	spkr52
sample517	spkr52
sample518	spkr52
sample519	spkr52
sample520	spkr52
sample521	spkr53
sample522	spkr53
sample523	spkr53
sample524	spkr53
sample525	spkr53
sample526	spkr53
sample527	spkr53
sample528	spkr53
sample529	spkr53
sample530	spkr53
sample531	spkr54
sample532	spkr54
sample533	spkr54
sample534	spkr54
sample535	spkr54
sample536	spkr54
sample537	spkr54
sample538	spkr54
sample539	spkr54
sample540	spkr54
sample541	spkr55
sample542	spkr55
sample543	spkr55
sample544	spkr55
sample545	spkr55
sample546	spkr55
sample547	spkr55
sample548	spkr55
sample549	spkr55
sample550	spkr55
sample551	spkr56
sample552	spkr56
sample553	spkr56
sample554	spkr56
sample555	spkr56
sample556	spkr56
sample557	spkr56
sample558	spkr56
sample559	spkr56
sample560	spkr56
sample561	spkr57
sample562	spkr57
sample563	spkr57
sample564	spkr57
sample565	spkr57
sample566	spkr57
sample567	spkr57
sample568	spkr57
sample569	spkr57
sample570	spkr57
sample571	spkr58
sample572	spkr58
sample573	spkr58
sample574	spkr58
sample575	spkr58
sample576	spkr58
sample577	spkr58
sample578	spkr58
sample579	spkr58
sample580	spkr58
sample581	spkr59
sample582	spkr59
sample583	spkr59
sample584	spkr59
sample585	spkr59
sample586	spkr59
sample587	spkr59
sample588	spkr59
sample589	spkr59
sample590	spkr59
sample591	spkr60
sample592	spkr60
sample593	spkr60
sample594	spkr60
sample595	spkr60
sample596	spkr60
sample597	spkr60
sample598	spkr60
sample599	spkr60
sample600	spkr60
sample601	spkr61
sample602	spkr61
sample603	spkr61
sample604	spkr61
sample605	spkr61
sample606	spkr61
sample607	spkr61
sample608	spkr61
sample609	spkr61
sample610	spkr61
sample611	spkr62
sample612	spkr62
sample613	spkr62
sample614	spkr62
sample615	spkr62
sample616	spkr62
sample617	spkr62
sample618	spkr62
sample619	spkr62
sample620	spkr62
sample621	spkr63
sample622	spkr63
sample623	spkr63
sample624	spkr63
sample625	spkr63
sample626	spkr63
sample627	spkr63
sample628	spkr63
sample629	spkr63
sample630	spkr63
sample631	spkr64
sample632	spkr64
sample633	spkr64
sample634	spkr64
sample635	spkr64
sample636	spkr64
sample637	spkr64
sample638	spkr64
sample639	spkr64
sample640	spkr64
